end_date,answer,pct
February-20,Trump,46
February-20,Trump,45
February-20,Trump,49
February-20,Trump,48.2
February-20,Trump,49.2
February-20,Trump,47.6
February-20,Trump,47.9
February-20,Trump,38
February-20,Trump,39
February-20,Trump,40
February-20,Trump,38
February-20,Trump,37
February-20,Trump,38
February-20,Trump,42
February-20,Trump,41
February-20,Trump,41
February-20,Trump,43
February-20,Trump,43
February-20,Trump,52
February-20,Trump,52
February-20,Trump,51
February-20,Trump,53
February-20,Trump,52
February-20,Trump,41
February-20,Trump,42
February-20,Trump,42
February-20,Trump,42
February-20,Trump,43
February-20,Trump,46
February-20,Trump,45
February-20,Trump,49
February-20,Trump,49
February-20,Trump,41
February-20,Trump,43
February-20,Trump,42
February-20,Trump,42
February-20,Trump,40
February-20,Trump,43
February-20,Trump,35
February-20,Trump,35
February-20,Trump,35
February-20,Trump,35
February-20,Trump,36
February-20,Trump,37
February-20,Trump,47
February-20,Trump,47
February-20,Trump,48
February-20,Trump,48
February-20,Trump,48
February-20,Trump,47
February-20,Trump,46
February-20,Trump,45
February-20,Trump,48
February-20,Trump,46
February-20,Trump,43
February-20,Trump,46
February-20,Trump,47
February-20,Trump,45
February-20,Trump,45
February-20,Trump,45
February-20,Trump,45
February-20,Trump,45
February-20,Trump,50
February-20,Trump,31.3
February-20,Trump,32.5
February-20,Trump,29.9
February-20,Trump,30.1
February-20,Trump,30.9
February-20,Trump,30.3
February-20,Trump,40.3
February-20,Trump,37.3
February-20,Trump,40
February-20,Trump,37.7
February-20,Trump,38.5
February-20,Trump,41.2
February-20,Trump,37.4
February-20,Trump,39.7
February-20,Trump,36.9
February-20,Trump,39.2
February-20,Trump,37.7
February-20,Trump,39.9
February-20,Trump,42
February-20,Trump,46
February-20,Trump,46
February-20,Trump,47
February-20,Trump,46
February-20,Trump,46
February-20,Trump,45
February-20,Trump,45
February-20,Trump,46
February-20,Trump,47
February-20,Trump,45
February-20,Trump,45
February-20,Trump,44
February-20,Trump,45
February-20,Trump,44
February-20,Trump,45
February-20,Trump,39.4
February-20,Trump,37.2
February-20,Trump,40.6
February-20,Trump,37.4
February-20,Trump,37.4
February-20,Trump,34
February-20,Trump,40.3
February-20,Trump,40.2
February-20,Trump,42
February-20,Trump,40.1
February-20,Trump,41
February-20,Trump,36.3
February-20,Trump,56.2
February-20,Trump,56.6
February-20,Trump,56.4
February-20,Trump,51.8
February-20,Trump,53.4
February-20,Trump,54.5
February-20,Trump,40.8
February-20,Trump,40.5
February-20,Trump,40.9
February-20,Trump,37.6
February-20,Trump,36
February-20,Trump,33
February-20,Trump,37
February-20,Trump,37
February-20,Trump,38
February-20,Trump,39
February-20,Trump,47
February-20,Trump,46
February-20,Trump,47
February-20,Trump,45
February-20,Trump,46
February-20,Trump,48
February-20,Trump,45
February-20,Trump,44
February-20,Trump,43
February-20,Trump,45
February-20,Trump,45
February-20,Trump,43
February-20,Trump,41
February-20,Trump,41
February-20,Trump,41
February-20,Trump,43
February-20,Trump,43
February-20,Trump,43
February-20,Trump,43
February-20,Trump,44
February-20,Trump,44
February-20,Trump,44
February-20,Trump,43
February-20,Trump,45
February-20,Trump,43
February-20,Trump,43
February-20,Trump,41
February-20,Trump,43
February-20,Trump,43
February-20,Trump,45
February-20,Trump,42
February-20,Trump,43
February-20,Trump,42
February-20,Trump,35
February-20,Trump,32
February-20,Trump,33
February-20,Trump,35
February-20,Trump,32
February-20,Trump,34
February-20,Trump,36
February-20,Trump,35
February-20,Trump,51.8
February-20,Trump,49.4
February-20,Trump,50.9
February-20,Trump,51.1
February-20,Trump,50.6
February-20,Trump,43
February-20,Trump,43
February-20,Trump,43
February-20,Trump,44
February-20,Trump,44
February-20,Trump,42
February-20,Trump,42
February-20,Trump,44
February-20,Trump,44
February-20,Trump,43
February-20,Trump,42
February-20,Trump,42
February-20,Trump,49
February-20,Trump,50
February-20,Trump,51
February-20,Trump,49
February-20,Trump,50
February-20,Trump,49
February-20,Trump,44
February-20,Trump,48
February-20,Trump,48
February-20,Trump,47
February-20,Trump,49
February-20,Trump,48
February-20,Trump,40
February-20,Trump,40
February-20,Trump,41
February-20,Trump,40
February-20,Trump,40
February-20,Trump,39
February-20,Trump,43
February-20,Trump,42
February-20,Trump,40
February-20,Trump,41
February-20,Trump,42
February-20,Trump,43
February-20,Trump,40
February-20,Trump,39
February-20,Trump,44
February-20,Trump,46
February-20,Trump,43
February-20,Trump,44
February-20,Trump,40
February-20,Trump,40
February-20,Trump,41
February-20,Trump,40
February-20,Trump,38
February-20,Trump,40
February-20,Trump,44
February-20,Trump,46
February-20,Trump,43
February-20,Trump,44
February-20,Trump,45
February-20,Trump,44
February-20,Trump,42
February-20,Trump,45
February-20,Trump,43
February-20,Trump,43
February-20,Trump,45
February-20,Trump,45
February-20,Trump,45
February-20,Trump,47
February-20,Trump,45
February-20,Trump,46
February-20,Trump,46
February-20,Trump,44
February-20,Trump,42
February-20,Trump,45
February-20,Trump,45
February-20,Trump,47
February-20,Trump,45
February-20,Trump,43
February-20,Trump,46
February-20,Trump,47
February-20,Trump,42
February-20,Trump,42
February-20,Trump,43
February-20,Trump,42
February-20,Trump,42
February-20,Trump,44
February-20,Trump,44
February-20,Trump,45
February-20,Trump,45
February-20,Trump,45
February-20,Trump,46
February-20,Trump,45
February-20,Trump,45
February-20,Trump,48
February-20,Trump,46
February-20,Trump,43
February-20,Trump,46
February-20,Trump,34
February-20,Trump,37
February-20,Trump,37
February-20,Trump,36
February-20,Trump,38
February-20,Trump,37
February-20,Trump,38
February-20,Trump,35
February-20,Trump,34
February-20,Trump,36
February-20,Trump,31
February-20,Trump,34
February-20,Trump,35
February-20,Trump,36
February-20,Trump,35
February-20,Trump,36
February-20,Trump,32
February-20,Trump,36
February-20,Trump,36
February-20,Trump,46
February-20,Trump,46
February-20,Trump,47
February-20,Trump,44
February-20,Trump,46
February-20,Trump,44
February-20,Trump,30.4
February-20,Trump,31.5
February-20,Trump,31.1
February-20,Trump,30.5
February-20,Trump,30.8
February-20,Trump,62
February-20,Trump,63
February-20,Trump,61
February-20,Trump,46.9
February-20,Trump,46.8
February-20,Trump,45.9
February-20,Trump,45.3
February-20,Trump,42
February-20,Trump,41
February-20,Trump,41
February-20,Trump,42
February-20,Trump,41
February-20,Trump,43
February-20,Trump,43
February-20,Trump,44
February-20,Trump,43
February-20,Trump,43
February-20,Trump,42
February-20,Trump,41
February-20,Trump,42
February-20,Trump,43
February-20,Trump,43
February-20,Trump,42
February-20,Trump,47
February-20,Trump,47
February-20,Trump,47
February-20,Trump,47
February-20,Trump,46
February-20,Trump,46
February-20,Trump,45
February-20,Trump,62
February-20,Trump,54
February-20,Trump,58
February-20,Trump,58
February-20,Trump,60
February-20,Trump,51
February-20,Trump,53
February-20,Trump,50
February-20,Trump,53
February-20,Trump,49
February-20,Trump,48
February-20,Trump,52
February-20,Trump,52
February-20,Trump,52
February-20,Trump,54
February-20,Trump,52
February-20,Trump,52
February-20,Trump,52
February-20,Trump,53
February-20,Trump,44.9
February-20,Trump,45.7
February-20,Trump,45.4
February-20,Trump,44.3
February-20,Trump,44.6
February-20,Trump,40
February-20,Trump,42
February-20,Trump,42
February-20,Trump,42
February-20,Trump,41
February-20,Trump,59
February-20,Trump,61
February-20,Trump,59
February-20,Trump,59
February-20,Trump,62
February-20,Trump,59
February-20,Trump,57
February-20,Trump,60
February-20,Trump,57
February-20,Trump,56
February-20,Trump,59
February-20,Trump,57
January-20,Trump,55
January-20,Trump,57
January-20,Trump,57
January-20,Trump,55
January-20,Trump,54
January-20,Trump,48
January-20,Trump,49
January-20,Trump,50
January-20,Trump,48
